word,count,category
di,482,Netral
ini,424,Netral
jaksa,284,Netral
bang,259,Netral
yg,252,Netral
yang,248,Netral
kasus,235,Netral
nya,228,Netral
video,202,Netral
bisa,195,Netral
di,1758,Opini/Diskusi
dan,1533,Opini/Diskusi
ini,1508,Opini/Diskusi
yg,1504,Opini/Diskusi
yang,1416,Opini/Diskusi
itu,1059,Opini/Diskusi
ada,995,Opini/Diskusi
kasus,768,Opini/Diskusi
bisa,761,Opini/Diskusi
nya,589,Opini/Diskusi
apa,120,Pertanyaan
ini,86,Pertanyaan
di,75,Pertanyaan
kasus,60,Pertanyaan
yang,58,Pertanyaan
yg,56,Pertanyaan
siapa,51,Pertanyaan
ya,48,Pertanyaan
apakah,47,Pertanyaan
ada,45,Pertanyaan
bodoh,109,Hujatan
goblok,65,Hujatan
jaksa,46,Hujatan
di,41,Hujatan
ini,40,Hujatan
yang,33,Hujatan
dan,32,Hujatan
anjing,26,Hujatan
tolol,25,Hujatan
itu,23,Hujatan
harusnya,44,Saran
coba,39,Saran
di,25,Saran
yang,21,Saran
ini,16,Saran
jaksa,15,Saran
yg,15,Saran
dan,11,Saran
itu,10,Saran
seharusnya,10,Saran
tolol,91,Candaan
jaksa,46,Candaan
ini,35,Candaan
di,27,Candaan
nya,22,Candaan
itu,20,Candaan
yg,19,Candaan
kasus,16,Candaan
yang,16,Candaan
video,16,Candaan
yang,58,Campuran
di,55,Campuran
dan,52,Campuran
ini,46,Campuran
ada,42,Campuran
itu,38,Campuran
tidak,38,Campuran
video,36,Campuran
yg,31,Campuran
bagus,29,Campuran
kurang,27,Kritik
ini,9,Kritik
atau,7,Kritik
buruk,7,Kritik
gimana,7,Kritik
nya,6,Kritik
gak,6,Kritik
serius,6,Kritik
nanya,6,Kritik
kalau,6,Kritik
keren,18,Apresiasi
bagus,13,Apresiasi
mantap,13,Apresiasi
bang,11,Apresiasi
banget,6,Apresiasi
yang,5,Apresiasi
nya,5,Apresiasi
terus,4,Apresiasi
ini,4,Apresiasi
loe,3,Apresiasi
aneh,2,Spam/Tidak Relevan
gila,1,Spam/Tidak Relevan
wehh,1,Spam/Tidak Relevan
6,1,Spam/Tidak Relevan
08,1,Spam/Tidak Relevan
blok,1,Spam/Tidak Relevan
cuan,1,Spam/Tidak Relevan
like,1,Spam/Tidak Relevan
sjjs,1,Spam/Tidak Relevan
sama,1,Spam/Tidak Relevan
semangat,10,Support
bang,4,Support
bikin,4,Support
main,4,Support
selalu,3,Support
kakak,3,Support
untuk,3,Support
ini,3,Support
dan,3,Support
lanjutkan,2,Support
