author,likes,published,clean_comment,category,word_count,length_category,engagement
@ferryirwandi,1602,2026-03-30T08:36:49Z,hallo warga sipil sekalian tonton sampe habis ya berikut video profilenya,Netral,11,Sedang,Medium Engagement
@yettysalakory,0,2026-04-01T05:47:46Z,duhh geleng2 sambil nonton,Netral,4,Pendek,Low Engagement
@anggapramuji,0,2026-04-01T05:47:44Z,kacaauu kacaau,Netral,2,Pendek,Low Engagement
@ShortMediaVideo,0,2026-04-01T05:46:25Z,yang korupsi mereka pejabat desa cs yang dijebloskan orang lain namanya juga pejabat kolot,Netral,14,Sedang,Medium Engagement
@primaolivia,0,2026-04-01T05:46:05Z,perlu ditanyakan ini para auditor di kabupaten karo sudah tersertifikasi belum tu kalau belum bisa dituntut balik kalau dia gak punya kabapitlitas sbg seorang auditor,Opini/Diskusi,25,Panjang,High Engagement
@AditXYZ1945,0,2026-04-01T05:45:04Z,congratulation someone just got a title jaksa plenger,Netral,8,Sedang,Medium Engagement
@Ruangterass,0,2026-04-01T05:44:01Z,yg ng bor sumur ada yg ngmng 75jt gimana nih bang fer,Pertanyaan,12,Sedang,Medium Engagement
@irfan_prasetyo7994,0,2026-04-01T05:40:17Z,ga ada yg mau beli senjaga ilegal tetus nembak nembak orang orang tolo di pemerintahan ga,Opini/Diskusi,16,Panjang,High Engagement
@TheTurbulentseas,0,2026-04-01T05:39:37Z,udah biasa ngeliat kinerja kejaksaan ga heran kerjaannya cari duit dengan malak proyek terus,Netral,14,Sedang,Medium Engagement
@AchmadmuftahinTaofik-uk3se,0,2026-04-01T05:36:18Z,gus yakult gimana tuh anjing emg ini negeri,Hujatan,8,Sedang,Medium Engagement
@RahmatIskandar28,0,2026-04-01T05:35:40Z,masih berharap hukuman mati buat koruptor yakin gk cuma jadi mainan doang,Netral,12,Sedang,Medium Engagement
@alifrisky5522,0,2026-04-01T05:35:06Z,bung kita menang,Netral,3,Pendek,Low Engagement
@HoneystMD,0,2026-04-01T05:33:45Z,9 menit mulai sesak nafas ini perdana aku cari faham masalah ini selama ini g pernah cari tau,Opini/Diskusi,18,Panjang,High Engagement
@happiminyaaa9110,0,2026-04-01T05:33:33Z,banyak cara mafia di pemerintahan untuk bertahan salah satunya adalah mencari masalah masalah lain yang sebenarnya tidak perlu dipermasalahkan jadi dipermasalahkan sehingga masalah masalah di sosial media yang dapat menyinggung atau membongkar identitas mereka tetap tertutup rapat dan hanya menjadi konspirasi belaka,Opini/Diskusi,42,Panjang,High Engagement
@HoneystMD,0,2026-04-01T05:31:52Z,baru 7 menit udah faham konyol sekaliiiii,Netral,7,Sedang,Medium Engagement
@AndhikaStorm1192,0,2026-04-01T05:27:40Z,sejauh ini ini kasus korupsi terkonyol,Netral,6,Sedang,Medium Engagement
@HoneystMD,0,2026-04-01T05:26:10Z,love sampe merinding ferry menjelaskan pencapaiannya bukan untuk sombong tapi untuk menjelaskan seberapa qualified nya dia sehat2 dan selamat terus bung dan keluarga,Opini/Diskusi,23,Panjang,High Engagement
@aldanhaidar4245,0,2026-04-01T05:26:09Z,auditor pemerintah kok banyak yang gaguna gini dulu sekolah bener gasih atau cuma ordal doang sih ini,Opini/Diskusi,17,Panjang,High Engagement
@AzwarLeisubun,0,2026-04-01T05:26:04Z,coba diperiksa kasus lain sama ini jaksa takutnya banyakk korban cuman belum viral saja,Saran,14,Sedang,Medium Engagement
@romeoyansamantha,0,2026-04-01T05:25:44Z,wkwkwk yang menyusun dan mengajukan rab saja adalah pihak plat merah bukan si penyedia jasa ini benar2 aur2an ini logika dan akal sehat para auditor termasuk pihak2 plat merah yang terlibat didalamnya sehingga kasus seperti ini pun bisa sampai ke tahapan ma maaf ya dengan kasus seperti ini seharusnya pemerintah pusat bisa tanggap dan melakukan pemeriksaan lebih lanjut tentang kualitas aparatur negara yang menjabat termasuk juga lembaga2 yang menerbitkan sertifikasi untuk kualifikasi tertentu,Opini/Diskusi,73,Panjang,High Engagement
@AduhTukang-d5f,1,2026-04-01T05:25:04Z,jika bung karno tidak di rebut kepemimpinannya oleh orba bangsa indonesia sudah maju sejak dulu cuma di zaman bung karno koruptor di hukum mati kini musuh musuhmu bangsamu sendiri koruptor dpr mpr ri jangan sok sibuk rakyat akan merdeka jika uu koruptor yg diserahkan jokowi ke dpr mpr ri segera di sah kan atau bubarkan dpr mpr ri,Opini/Diskusi,58,Panjang,High Engagement
@robbybdl5795,0,2026-04-01T05:21:22Z,pecat itu jaksa sama auditornya sangat memalukan,Netral,7,Sedang,Medium Engagement
@IRFANSYAPUTRA-c8h,0,2026-04-01T05:20:32Z,maaf bang kebanyakan bumper videonya,Netral,5,Sedang,Medium Engagement
@wahyutyas101,0,2026-04-01T05:20:28Z,pkoknya kalo kerjasma sma pemerintahan mau di lini yg kecil ataupun yg besar ttp membahayakan aku pernah tanya ke agen beras kenapa gk jual beras sphp bukannya itu boleh diperjual belikan dia jawabnya emng boleh tapi sama aja nyari bahaya daripda nnti jualanku yg lain kena imbasnya mending jualan yg pasti dan aman2 aja,Opini/Diskusi,54,Panjang,High Engagement
@parklinkdarkness5599,0,2026-04-01T05:18:33Z,inti guys jngn pernah mau berbisnis dengan plat merah bahaya bahaya gagal baa,Netral,13,Sedang,Medium Engagement
@abangkio296,0,2026-04-01T05:18:05Z,si feri bilang lu bakalan marah kesal dan mual wkwkwkw bang lu lupa apa kalon qta ini wni marah mual dan kesal sama kelakuan pejabat negara ini udah makanan sehari2 kami sampai kebal,Opini/Diskusi,33,Panjang,High Engagement
@UmiDara-q3m,0,2026-04-01T05:15:59Z,ini contoh nyata hukum di indonesia tajam ke bawah tumpul ke atas,Netral,12,Sedang,Medium Engagement
@gunawanmigi2637,0,2026-04-01T05:15:35Z,makanya gw sebagai dev apps gk mau terima tawaran buat software sma instansi bukanya apa apa ya bisa jdi ad oknum yg kya gini2 ntar pas gw kasih harga 50juta based on case jasa 0 kan cuma ngetik sisanya libary kan open source kamu untung 100persen hrusnya 5juta ini,Opini/Diskusi,49,Panjang,High Engagement
@blacksheep534,0,2026-04-01T05:14:43Z,gw mikirnya kyak kontraktor yg biasa markup harga bahan baku gimna ceritanya yg selama ini kerja bareng sama pembangunan pemerintah,Opini/Diskusi,20,Panjang,High Engagement
@wangkrekot,0,2026-04-01T05:13:42Z,jaksanya lapar butuh dana dari kasus tapi nyari kasus yang dianggapnya korban itu bodoh malah kebalik keliatannya jaksanya yg jadi kelihatan bodoh kepada yang terhormat para jaksa tolonglah kalian kan sekolah kan ngerti arti korupsi kan yang ada mestinya ditanya ke kepala desanya lapor minta pengadaan dana nya berapa jgn2 mereka yang mark up malah videografernya yg jadi kambing hitam,Opini/Diskusi,60,Panjang,High Engagement
@giorginogiovanna3996,0,2026-04-01T05:12:50Z,inspektorat paok jaksa pun paok kebanyakan maen slot otaknya sengklek,Netral,10,Sedang,Medium Engagement
@explorejoe,0,2026-04-01T05:09:22Z,sekalian bongkar siapa yg punya kepentingan bang kasus pesanan siapa tuh 30 juta buat video profile dibilang mark up sedangkan ada bumn yg impor mobil dari prindapan buat koperasi merput dan mengelola dana 200 trilyun website nya pakai canva oke2 aja mana yg mau diaudit nih,Opini/Diskusi,46,Panjang,High Engagement
@oness08,0,2026-04-01T05:09:09Z,udah di level maklum sama negara ini herman willem daendelsn aja di bilang gak ngegaji pekerjanya,Opini/Diskusi,16,Panjang,High Engagement
@sukmaendriyanto655,0,2026-04-01T05:07:50Z,videonya di private bang,Netral,4,Pendek,Low Engagement
@poroskonflik,0,2026-04-01T05:07:31Z,pengalaman ku berkata untuk menjauh berkerjasama project dengan pemerintah ada yang nembak lu untuk melakukan sesuatu untuk negara ludahin tuh orang kalian sudah berbuat cukup untuk negara dengan bayar pajak,Opini/Diskusi,30,Panjang,High Engagement
@giorginogiovanna3996,0,2026-04-01T05:07:22Z,aku yang buat video dokumenter sejarah batu badak bejuang durasi 15 menit dibayar cuma 1 5 juta ngerasa wehh murah kali jasa video ku,Opini/Diskusi,24,Panjang,High Engagement
@Husnulkhotimah-ko4hs,0,2026-04-01T05:07:17Z,thankyouu bg ferry udh buka kasus inii,Netral,7,Sedang,Medium Engagement
